viaf id,name,articles
14924300,معروف الرصافي,24
40250618,عيسى اسكندر المعلوف,16
,ساتسنا,13
,المغربي,7
93607460,جمال الدين القاسمي,6
19737865,أحمد تيمور,6
,يوسف جرجس زخم,6
49218655,أحمد زكي,6
,محمد كرد علي,6
73935498,شكيب أرسلان,5
32410755,حافظ إبراهيم,5
28125663,رفيق العظم,5
305214884,جرجي حداد,5
,خليل سعد,5
,إبراهيم حلمي العمر,4
50793892,سليمان ظاهر,4
46611500,سليم عنحوري,4
299037057,عبد الله مخلص,4
,عيسى اسكندر معلوف,4
51840827,يوحنا ورتبات,4
89743196,ابن المقفع,3
30478485,فارس الخوري,3
160786315,شكري العسلي,3
47005120,رضي الدين محمد القزويني,3
,إبراهيم حلمي,3
97055208,أحمد رضا,3
,عبد الوهاب,3
,محمد رضا الشبيبي,3
,أحمد محرم,2
96962923,سعيد الخوري الشرتوني,2
15578201,خير الدين الزركلي,2
,محمد رضا الشبيبي,2
96963151,محمد جميل الشطي,2
,جمال الدين القاسمي,2
305212906,صلاح الدين القاسمي,2
,صلاح الدين القاسمي,2
44512503,لوسين بوفا,2
,جرجي نقولا باز,2
,طه حسين,2
,حسين وصفي رضا,2
,خليل الخوري,2
,خير الدين الزركلي,2
,رفيق العظم,2
17374300,أمين ريحاني,2
,يوسف زخم,2
65658340,عبد الرحمن شهبندر,2
,حسني عبد الهادي,2
,كاباتون,2
,محمد لطفي جمعة,2
,مصطفى صادق الرافعي,2
29641421,كليمان هوار,2
,يوسف جرجس زخم,2
,أ. ز. أ,1
,أ.ج,1
,أبي العلاء المعري,1
,أحد القراء,1
,إبراهيم حلمي العمر,1
,إسماعيل صبري,1
,ا. ج,1
,محمود شكري الألومي,1
,سليم البخاري,1
,رشدي الحكيم,1
,محمد رشدي الحكيم,1
48162863,محمد الخضري,1
38333734,محب الدين الخطيب,1
,محب الدين الخطيب,1
,فارس الخوري,1
,كاظم الدجيلي,1
,الدكتورخليل سعادة,1
236524859,مصطفى صادق الرافعي,1
,مصطفى صادق الرافعي,1
,أمين الريحاني,1
22006374,محمد رضا الشبيبي,1
,شكري العسلي,1
,حقي العظم,1
265101315,الغلاييني,1
,القاضي الفاضل,1
,رضي الدين محمد القزويني,1
27190968,عبد الحميد الكاتب,1
,قسطاكي المحصي,1
,عبد الله المخلص,1
118432135,المغربي,1
,محمد المهدي,1
,إسعاف النشاشيبي,1
,جستور بالسوم,1
,بولس الخولي,1
,ج,1
,محمد لطفي جمعة,1
,حبيب جرجي كحالة,1
,اإبراهيم ححلمي العمر,1
,أحمد إبراهيم خربوطلي,1
,خليل مردم بك,1
,أمين ظاهر خير الله,1
,ي د,1
,دكتور موريس دي فلوري,1
,ر. ب.,1
,نقولا رزق الله,1
,رشيد الخوري,1
,فيليكس رينيول,1
,ز. خ,1
,ز. خ.,1
,يوسف زخم,1
,احمد زكي,1
,جرجي ديمتري سرسق,1
,سلتسنا,1
,سليمان ضاهر,1
,ش,1
,أحمد شوقي,1
,ج ص,1
,ج. ص.,1
,ج ض,1
,طانيوس عبده,1
,محمد راغب طباخ,1
,محمد راغب طباع,1
,عبد الفتاحالسكري الركابي,1
,عبد المحسن الكاظمي,1
,عبد المعين خلوصي,1
,عز الدين شيخ السروجية,1
,ف,1
,نجيب فركوح,1
90073709,عبد الله فكري,1
,محمد فهمي الغزي,1
,فارس فياض,1
,ج ق,1
,حبيب جرجي كحالة,1
,احمد كمال,1
204498809,باولو لومبروزو,1
,محب الدين الخطيب,1
,محمد باقر الشبيبي,1
,محمد بن الخضر,1
,محمد رضا الشبيهي,1
,محمد كرد علي,1
,محمدإمام العبد,1
,خليل مردم بك,1
102460074,خليل مطران,1
,نعوم مكرزل,1
