date;volume;issue;MODS;number of pages;number of words;number of articles;words per article;number of independent articles;words per independent article;characters per independent article;number of independent articles with author information;number of articles in sections;words per article in sections;characters per article in sections
1906-02-25;1;1;../metadata/oclc_4770057679-i_1.MODS.xml;56;11968;52;230.15384615384616;11;467.1818181818182;2120.818181818182;4;41;167.3658536585366;741.1951219512196
1906-02-25;1;10;../metadata/oclc_4770057679-i_10.MODS.xml;1;19487;42;463.9761904761905;12;1163.25;5412.5;5;30;185.33333333333334;849.0666666666667
1906-02-25;1;11;../metadata/oclc_4770057679-i_11.MODS.xml;1;16483;46;358.32608695652175;11;925.4545454545455;4239.636363636364;2;35;162.54285714285714;728.5714285714286
1906-02-25;1;12;../metadata/oclc_4770057679-i_12.MODS.xml;1;17024;37;460.1081081081081;13;947.5384615384615;4431.384615384615;4;24;197.25;902.9583333333334
;;;../metadata/oclc_4770057679-i_13.MODS.xml;0;12403;20;620.15;8;918.25;4181;4;12;391.4166666666667;1760
;;;../metadata/oclc_4770057679-i_14.MODS.xml;0;13926;23;605.4782608695652;6;1831;8129.5;4;17;163.76470588235293;754.2941176470588
;;;../metadata/oclc_4770057679-i_15.MODS.xml;0;17902;50;358.04;11;1155.2727272727273;5231.454545454545;4;39;134.25641025641025;620.6666666666666
;;;../metadata/oclc_4770057679-i_16.MODS.xml;0;19701;20;985.05;8;1711.5;7724.5;1;12;501.75;2165.5
;;;../metadata/oclc_4770057679-i_17.MODS.xml;0;15876;26;610.6153846153846;9;1462.6666666666667;6551.222222222223;3;17;160.58823529411765;754.4705882352941
;;;../metadata/oclc_4770057679-i_18.MODS.xml;0;15595;31;503.06451612903226;9;1451.888888888889;6631.333333333333;0;22;115.95454545454545;526.6363636363636
;;;../metadata/oclc_4770057679-i_19.MODS.xml;0;14593;25;583.72;5;1886.8;8889.6;3;20;258.7;1157.8
1906-03-27;1;2;../metadata/oclc_4770057679-i_2.MODS.xml;56;12455;25;498.2;15;568.4;2632.8;2;10;356.6;1575
;;;../metadata/oclc_4770057679-i_20.MODS.xml;0;15545;38;409.07894736842104;5;1418.6;6541.4;2;33;256.93939393939394;1127.3939393939395
;;;../metadata/oclc_4770057679-i_21.MODS.xml;0;17430;37;471.0810810810811;4;2391;10939.75;2;33;239.15151515151516;1088.3030303030303
;;;../metadata/oclc_4770057679-i_22.MODS.xml;0;17308;38;455.4736842105263;9;975.4444444444445;4568.777777777777;2;29;295.0344827586207;1370.551724137931
;;;../metadata/oclc_4770057679-i_23.MODS.xml;0;17533;36;487.02777777777777;8;1899;8513.375;0;28;84.64285714285714;405.17857142857144
;;;../metadata/oclc_4770057679-i_24.MODS.xml;0;18315;36;508.75;9;1687.4444444444443;7881.666666666667;1;27;116.85185185185185;553.4814814814815
1908-02-04;3;1;../metadata/oclc_4770057679-i_25.MODS.xml;80;25735;69;372.9710144927536;10;1917.3;8675.7;5;59;147.4915254237288;679.8135593220339
1908-03-05;3;2;../metadata/oclc_4770057679-i_26.MODS.xml;80;27846;53;525.3962264150944;9;2057.6666666666665;9140.333333333334;4;44;212.9318181818182;978.75
1908-04-03;3;3;../metadata/oclc_4770057679-i_27.MODS.xml;64;22160;17;1303.5294117647059;6;3257.5;14127.333333333334;4;11;238.27272727272728;1092.8181818181818
