MODS;number of pages;number of words;number of articles;words per article;number of independent articles;words per independent article;characters per independent article;number of independent articles with author information;number of articles in sections;words per article in sections;characters per article in sections
../metadata/oclc_4770057679-i_1.MODS.xml;56;11970;52;230.19230769230768;11;467.1818181818182;2120.818181818182;4;41;167.41463414634146;741.1951219512196
../metadata/oclc_4770057679-i_10.MODS.xml;1;19492;42;464.0952380952381;12;1163.6666666666667;5412.5;5;30;185.33333333333334;849.0666666666667
../metadata/oclc_4770057679-i_11.MODS.xml;1;16485;47;350.74468085106383;12;902.6666666666666;4116.333333333333;2;35;162.54285714285714;728.5714285714286
../metadata/oclc_4770057679-i_12.MODS.xml;1;17029;37;460.2432432432432;13;947.7692307692307;4431.384615384615;4;24;197.33333333333334;902.9583333333334
../metadata/oclc_4770057679-i_13.MODS.xml;0;12404;20;620.2;8;918.375;4181;4;12;391.4166666666667;1760
../metadata/oclc_4770057679-i_14.MODS.xml;0;13927;24;580.2916666666666;7;1593.857142857143;7083.428571428572;5;17;163.76470588235293;754.2941176470588
../metadata/oclc_4770057679-i_15.MODS.xml;0;17913;46;389.4130434782609;11;1155.909090909091;5231.454545454545;2;35;149.4857142857143;691.6
../metadata/oclc_4770057679-i_16.MODS.xml;0;19703;22;895.5909090909091;9;1902.2222222222222;8469.555555555555;0;13;199.53846153846155;889.5384615384615
../metadata/oclc_4770057679-i_17.MODS.xml;0;15880;25;635.2;9;1462.7777777777778;6551.111111111111;1;16;170.5;801.625
../metadata/oclc_4770057679-i_18.MODS.xml;0;15597;29;537.8275862068965;9;1451.888888888889;6631.333333333333;0;20;127.35;579.3
../metadata/oclc_4770057679-i_19.MODS.xml;0;14604;23;634.9565217391304;7;1864.4285714285713;8616.57142857143;2;16;97.8125;457.375
../metadata/oclc_4770057679-i_2.MODS.xml;56;12455;26;479.03846153846155;16;576.375;2656.375;2;10;356.6;1575
../metadata/oclc_4770057679-i_20.MODS.xml;0;15551;38;409.2368421052632;7;1737.2857142857142;7754.714285714285;1;31;110.19354838709677;505.06451612903226
../metadata/oclc_4770057679-i_21.MODS.xml;0;17433;37;471.1621621621622;6;2103.8333333333335;9579.5;0;31;155.96774193548387;718.8387096774194
../metadata/oclc_4770057679-i_22.MODS.xml;0;17318;38;455.7368421052632;11;1077.6363636363637;5015.272727272727;1;27;203.33333333333334;949.4814814814815
../metadata/oclc_4770057679-i_23.MODS.xml;0;17534;37;473.8918918918919;9;1687.6666666666667;7567.444444444444;0;28;84.67857142857143;404.7142857142857
../metadata/oclc_4770057679-i_24.MODS.xml;0;18326;31;591.1612903225806;11;1469.3636363636363;6865.909090909091;2;20;109.15;517.4
../metadata/oclc_4770057679-i_25.MODS.xml;80;25737;68;378.4852941176471;9;1814;8256.555555555555;4;59;147.52542372881356;679.8135593220339
../metadata/oclc_4770057679-i_26.MODS.xml;80;27847;53;525.4150943396227;9;2057.6666666666665;9140.333333333334;4;44;212.95454545454547;978.75
../metadata/oclc_4770057679-i_27.MODS.xml;64;22160;17;1303.5294117647059;6;3257.5;14127.333333333334;4;11;238.27272727272728;1092.8181818181818
../metadata/oclc_4770057679-i_28.MODS.xml;72;24682;58;425.55172413793105;44;590.5227272727273;2635.931818181818;4;14;185.71428571428572;865.2142857142857
../metadata/oclc_4770057679-i_29.MODS.xml;64;17935;24;747.2916666666666;5;3116.6;14175.2;4;19;124.47368421052632;592.2631578947369
../metadata/oclc_4770057679-i_3.MODS.xml;3;12591;34;370.3235294117647;18;623.6111111111111;2905.222222222222;2;16;134.125;632.1875
../metadata/oclc_4770057679-i_30.MODS.xml;1;15722;19;827.4736842105264;7;1800.5714285714287;8160.285714285715;1;12;260.6666666666667;1242.25
../metadata/oclc_4770057679-i_31.MODS.xml;1;20561;24;856.7083333333334;8;2240.75;9926.875;3;16;165.625;781
../metadata/oclc_4770057679-i_32.MODS.xml;1;19633;33;594.939393939394;5;3171.6;14401.6;1;28;135.67857142857142;628.7142857142857
../metadata/oclc_4770057679-i_33.MODS.xml;1;21634;20;1081.7;5;3345.4;15228.6;1;15;327.46666666666664;1492.8666666666666
../metadata/oclc_4770057679-i_34.MODS.xml;1;21728;21;1034.6666666666667;5;4067.2;18895.8;1;16;87.5;404.875
../metadata/oclc_4770057679-i_35.MODS.xml;1;24395;6;4065.8333333333335;6;4065.1666666666665;18951;1;0;NaN;NaN
../metadata/oclc_4770057679-i_36.MODS.xml;1;16140;26;620.7692307692307;7;1766.7142857142858;7804;1;19;199.47368421052633;909
../metadata/oclc_4770057679-i_37.MODS.xml;70;18602;38;489.5263157894737;7;1829.142857142857;8084.142857142857;4;31;187.96774193548387;876.5483870967741
../metadata/oclc_4770057679-i_38.MODS.xml;64;17904;23;778.4347826086956;9;1634.111111111111;7459.111111111111;5;14;229.35714285714286;1044.5
../metadata/oclc_4770057679-i_39.MODS.xml;72;20337;31;656.0322580645161;8;1817.875;8439.625;5;23;252.82608695652175;1169.9130434782608
../metadata/oclc_4770057679-i_4.MODS.xml;1;11147;34;327.8529411764706;13;627.1538461538462;2868.4615384615386;5;21;143.61904761904762;651.8571428571429
../metadata/oclc_4770057679-i_40.MODS.xml;64;19540;27;723.7037037037037;10;1713.4;7862.5;5;17;142.47058823529412;665
../metadata/oclc_4770057679-i_41.MODS.xml;104;30421;11;2765.5454545454545;6;4120.166666666667;17897.5;4;5;292.2;1397.4
../metadata/oclc_4770057679-i_42.MODS.xml;88;28808;27;1066.962962962963;7;2142.1428571428573;9850.57142857143;1;20;691.6;3123.9
../metadata/oclc_4770057679-i_43.MODS.xml;64;17203;24;716.7916666666666;3;4565;20935.666666666668;1;21;167.76190476190476;770.0952380952381
../metadata/oclc_4770057679-i_44.MODS.xml;64;18035;32;563.59375;4;3152.25;14555.5;3;28;194.60714285714286;879.8214285714286
../metadata/oclc_4770057679-i_45.MODS.xml;64;16901;30;563.3666666666667;6;2085.6666666666665;9635.333333333334;4;24;183.83333333333334;843.2916666666666
../metadata/oclc_4770057679-i_46.MODS.xml;64;18683;31;602.6774193548387;7;1819.857142857143;8299.42857142857;3;24;248.75;1166.5416666666667
../metadata/oclc_4770057679-i_47.MODS.xml;80;21142;41;515.6585365853658;8;2287.75;10663.125;5;33;82.9090909090909;394.4848484848485
../metadata/oclc_4770057679-i_48.MODS.xml;86;22495;46;489.0217391304348;5;3255.6;15045.8;3;41;152.609756097561;712.7073170731708
../metadata/oclc_4770057679-i_49.MODS.xml;72;19464;27;720.8888888888889;5;2627.8;12141.8;2;22;288.45454545454544;1354.7727272727273
../metadata/oclc_4770057679-i_5.MODS.xml;1;10381;33;314.57575757575756;8;854.125;3914.875;5;25;142.8;654.8
../metadata/oclc_4770057679-i_50.MODS.xml;64;20376;13;1567.3846153846155;6;2709.8333333333335;12502.666666666666;4;7;589.4285714285714;2728
../metadata/oclc_4770057679-i_51.MODS.xml;64;20312;59;344.271186440678;7;2038.5714285714287;9348.857142857143;3;52;116.59615384615384;553.5192307692307
../metadata/oclc_4770057679-i_52.MODS.xml;64;19476;68;286.4117647058824;52;327.78846153846155;1512.076923076923;5;16;155.3125;718.9375
../metadata/oclc_4770057679-i_53.MODS.xml;80;23536;25;941.44;6;3029.6666666666665;13778.833333333334;4;19;283;1338.7368421052631
../metadata/oclc_4770057679-i_54.MODS.xml;56;16515;17;971.4705882352941;6;1614.3333333333333;7352.166666666667;4;11;621.8181818181819;2809
../metadata/oclc_4770057679-i_55.MODS.xml;56;16979;19;893.6315789473684;5;1623.6;7810.6;1;14;633.9285714285714;2997.8571428571427
../metadata/oclc_4770057679-i_56.MODS.xml;64;20078;28;717.0714285714286;4;3458.75;15638;3;24;260.5416666666667;1192.6666666666667
../metadata/oclc_4770057679-i_57.MODS.xml;64;19556;12;1629.6666666666667;4;4057.25;18333;1;8;416.625;1936.375
../metadata/oclc_4770057679-i_58.MODS.xml;64;18363;6;3060.5;6;3061;14044.166666666666;3;0;NaN;NaN
../metadata/oclc_4770057679-i_59.MODS.xml;64;18447;19;970.8947368421053;6;2624.1666666666665;11774.666666666666;4;13;208.84615384615384;981.4615384615385
../metadata/oclc_4770057679-i_6.MODS.xml;1;10780;26;414.61538461538464;10;746.9;3508;3;16;207.75;947.75
../metadata/oclc_4770057679-i_60.MODS.xml;87;27759;28;991.3928571428571;7;2584.714285714286;11683.42857142857;2;21;461.14285714285717;2162.4285714285716
../metadata/oclc_4770057679-i_61.MODS.xml;88;27739;64;433.421875;2;6923.5;30293.5;1;62;225.01612903225808;1039.3709677419354
../metadata/oclc_4770057679-i_62.MODS.xml;88;26105;40;652.625;3;4388.666666666667;19201.333333333332;1;37;350.6756756756757;1622.837837837838
../metadata/oclc_4770057679-i_63.MODS.xml;64;19677;5;3935.4;5;3935.8;17550;5;0;NaN;NaN
../metadata/oclc_4770057679-i_64.MODS.xml;56;15694;9;1743.7777777777778;2;5674;25495;0;7;621.5714285714286;2928.5714285714284
../metadata/oclc_4770057679-i_65.MODS.xml;56;17874;16;1117.125;1;13353;60759;0;15;302.2;1454.0666666666666
../metadata/oclc_4770057679-i_66.MODS.xml;64;17559;64;274.359375;25;536.32;2495.72;5;39;129.56410256410257;604.3076923076923
../metadata/oclc_4770057679-i_67.MODS.xml;56;17180;16;1073.75;6;2076.3333333333335;9430.666666666666;5;10;473.3;2158.3
../metadata/oclc_4770057679-i_68.MODS.xml;56;14999;42;357.1190476190476;5;1583.8;7035.4;5;37;192.35135135135135;935.3783783783783
../metadata/oclc_4770057679-i_69.MODS.xml;64;19422;35;554.9142857142857;14;987.5;4511.857142857143;2;21;291.6190476190476;1368.142857142857
../metadata/oclc_4770057679-i_7.MODS.xml;1;15991;54;296.1296296296296;15;755.2;3512.6666666666665;5;39;120.64102564102564;563.8974358974359
../metadata/oclc_4770057679-i_70.MODS.xml;56;17388;19;915.1578947368421;3;4926.666666666667;22217;2;16;163.875;776.0625
